timestamp,cps,cps_err,usv_hr
1776900422.3675122,14.0,2.6457513110645907,0.175476
1776900424.3725636,6.0,1.7320508075688772,0.075204
1776900426.3873374,6.5,1.8027756377319946,0.081471
1776900428.391193,6.0,1.7320508075688772,0.075204
1776900430.4203873,4.0,1.4142135623730951,0.050136
1776900432.4426336,4.0,1.4142135623730951,0.050136
1776900434.4429722,4.0,1.4142135623730951,0.050136
1776900436.454566,7.5,1.9364916731037085,0.094005
1776900438.4909573,2.5,1.118033988749895,0.031335
1776900440.5236254,7.0,1.8708286933869707,0.087738
1776900442.507966,3.0,1.224744871391589,0.037602
1776900444.5352185,8.5,2.0615528128088303,0.106539
1776900446.590716,9.0,2.1213203435596424,0.112806
1776900448.576783,6.0,1.7320508075688772,0.075204
1776900450.592662,6.5,1.8027756377319946,0.081471
1776900452.618723,9.0,2.1213203435596424,0.112806
1776900454.6398313,6.5,1.8027756377319946,0.081471
1776900456.6520905,4.0,1.4142135623730951,0.050136
1776900458.6430147,4.0,1.4142135623730951,0.050136
1776900460.706615,4.5,1.5,0.056403
1776900462.689752,4.0,1.4142135623730951,0.050136
1776900464.7179708,5.5,1.6583123951777,0.068937
1776900466.7434814,6.0,1.7320508075688772,0.075204
1776900468.7454653,6.0,1.7320508075688772,0.075204
1776900470.7838159,5.5,1.6583123951777,0.068937
1776900472.8152215,6.0,1.7320508075688772,0.075204
1776900474.7997487,6.0,1.7320508075688772,0.075204
1776900476.8191395,2.0,1.0,0.025068
1776900478.8530595,3.5,1.3228756555322954,0.043869
1776900480.8720155,6.5,1.8027756377319946,0.081471
1776900482.906433,8.0,2.0,0.100272
1776900484.884938,7.5,1.9364916731037085,0.094005
1776900486.928013,8.5,2.0615528128088303,0.106539
1776900488.9510896,9.0,2.1213203435596424,0.112806
1776900490.9665637,4.0,1.4142135623730951,0.050136
1776900492.979309,7.5,1.9364916731037085,0.094005
1776900494.9925177,3.0,1.224744871391589,0.037602
1776900497.0167513,5.5,1.6583123951777,0.068937
1776900499.0038555,8.5,2.0615528128088303,0.106539
1776900501.023958,7.0,1.8708286933869707,0.087738
1776900503.0511773,7.5,1.9364916731037085,0.094005
1776900505.0666928,8.0,2.0,0.100272
1776900507.0860436,3.0,1.224744871391589,0.037602
1776900509.10817,5.5,1.6583123951777,0.068937
1776900511.128015,5.0,1.5811388300841898,0.06267
1776900513.171721,6.0,1.7320508075688772,0.075204
1776900515.1650913,7.0,1.8708286933869707,0.087738
1776900517.1769679,6.0,1.7320508075688772,0.075204
1776900519.222824,5.5,1.6583123951777,0.068937
1776900521.2362738,9.5,2.179449471770337,0.119073
1776900523.2472608,8.0,2.0,0.100272
1776900525.280693,4.5,1.5,0.056403
1776900527.263913,8.0,2.0,0.100272
1776900529.2898057,4.5,1.5,0.056403
1776900531.3073783,9.5,2.179449471770337,0.119073
1776900533.3320167,6.5,1.8027756377319946,0.081471
1776900535.3593946,4.0,1.4142135623730951,0.050136
1776900537.3537018,6.0,1.7320508075688772,0.075204
1776900539.384319,4.5,1.5,0.056403
1776900541.4048514,10.0,2.23606797749979,0.12534
1776900543.4424365,6.0,1.7320508075688772,0.075204
1776900545.4509294,8.0,2.0,0.100272
1776900547.4766498,3.5,1.3228756555322954,0.043869
1776900549.4540474,4.5,1.5,0.056403
1776900551.4754534,8.5,2.0615528128088303,0.106539
1776900553.5040336,7.5,1.9364916731037085,0.094005
1776900555.5192149,7.0,1.8708286933869707,0.087738
1776900557.5670824,6.5,1.8027756377319946,0.081471
1776900559.5596132,7.5,1.9364916731037085,0.094005
1776900561.5748746,9.5,2.179449471770337,0.119073
1776900563.6209211,12.5,2.5,0.156675
1776900565.6387494,7.0,1.8708286933869707,0.087738
1776900567.6616802,8.0,2.0,0.100272
1776900569.6434357,8.5,2.0615528128088303,0.106539
1776900571.6899292,7.0,1.8708286933869707,0.087738
1776900573.716039,12.5,2.5,0.156675
1776900575.6851208,8.0,2.0,0.100272
1776900577.7248456,9.0,2.1213203435596424,0.112806
1776900579.7378473,8.0,2.0,0.100272
1776900581.749249,8.0,2.0,0.100272
1776900583.7599957,12.5,2.5,0.156675
1776900585.825332,9.0,2.1213203435596424,0.112806
1776900587.8211374,12.0,2.449489742783178,0.150408
1776900589.8371923,14.5,2.692582403567252,0.181743
1776900591.8570065,7.0,1.8708286933869707,0.087738
1776900593.8799546,10.5,2.29128784747792,0.131607
1776900595.9042408,13.0,2.5495097567963922,0.162942
1776900597.8959231,12.5,2.5,0.156675
1776900599.942079,10.0,2.23606797749979,0.12534
1776900601.9534655,12.5,2.5,0.156675
1776900603.9811554,7.5,1.9364916731037085,0.094005
1776900605.956894,6.0,1.7320508075688772,0.075204
1776900607.992682,11.0,2.345207879911715,0.137874
1776900610.009115,9.0,2.1213203435596424,0.112806
1776900612.041068,7.0,1.8708286933869707,0.087738
1776900614.063425,9.0,2.1213203435596424,0.112806
1776900616.087001,11.0,2.345207879911715,0.137874
1776900618.0875676,11.0,2.345207879911715,0.137874
1776900620.1057796,11.5,2.3979157616563596,0.144141
1776900622.1386437,11.5,2.3979157616563596,0.144141
1776900624.1342678,7.5,1.9364916731037085,0.094005
1776900626.1474018,7.0,1.8708286933869707,0.087738
1776900628.1818676,8.0,2.0,0.100272
1776900630.196461,9.5,2.179449471770337,0.119073
1776900632.2184577,9.5,2.179449471770337,0.119073
1776900634.2239761,10.5,2.29128784747792,0.131607
1776900636.2412052,6.5,1.8027756377319946,0.081471
1776900638.272672,7.0,1.8708286933869707,0.087738
1776900640.287423,8.0,2.0,0.100272
1776900642.2991085,9.0,2.1213203435596424,0.112806
1776900644.304871,9.5,2.179449471770337,0.119073
1776900646.315896,8.0,2.0,0.100272
1776900648.346935,10.5,2.29128784747792,0.131607
1776900650.3807545,11.0,2.345207879911715,0.137874
1776900652.3998077,7.5,1.9364916731037085,0.094005
1776900654.4248729,10.0,2.23606797749979,0.12534
1776900656.4121168,10.0,2.23606797749979,0.12534
1776900658.4460418,10.0,2.23606797749979,0.12534
1776900660.4722457,10.5,2.29128784747792,0.131607
1776900662.4719741,10.5,2.29128784747792,0.131607
1776900664.501793,6.0,1.7320508075688772,0.075204
1776900666.514123,8.5,2.0615528128088303,0.106539
1776900668.551279,9.0,2.1213203435596424,0.112806
1776900670.5681796,8.5,2.0615528128088303,0.106539
1776900672.562862,9.0,2.1213203435596424,0.112806
1776900674.5801191,12.0,2.449489742783178,0.150408
1776900676.597745,8.0,2.0,0.100272
1776900678.6210742,6.0,1.7320508075688772,0.075204
1776900680.638117,10.0,2.23606797749979,0.12534
1776900682.6669717,13.0,2.5495097567963922,0.162942
