time,pm10 standard,pm25 standard,pm100 standard,pm10 env,pm25 env,pm100 env,03um,05um,10um,25um,50um,100um,temp,gas,humidity,pressure,altitude
1771458995.4632747,0,0,0,0,0,0,72,19,2,1,0,0,34.41515625,36371,100,703.9709521027954,2968.190806379079
1771458997.475081,0,0,0,0,0,0,72,19,2,1,0,0,43.19875,21676,12.351995910683002,1002.7128620920081,88.10056530116404
1771458999.4869092,0,0,0,0,0,0,72,19,2,1,0,0,43.2175,29140,12.227816251714096,1002.7165381436935,88.06969954428108
1771459001.4999735,0,0,0,0,0,0,72,18,2,1,0,0,43.21984375,33918,12.15298414466837,1002.7149952351403,88.08265447619169
1771459003.5130196,0,0,0,0,0,0,72,18,2,1,0,0,43.225703125,37735,12.128266448690605,1002.7173672902252,88.06273767570576
1771459005.5259926,0,0,0,0,0,0,72,18,2,1,0,0,43.2380078125,40833,12.138777006183535,1002.7141607566182,88.08966112787458
1771459007.5389552,0,0,0,0,0,0,63,17,2,1,0,0,43.221015625,43868,12.098113213922971,1002.7079943282935,88.14143734065647
1771459009.5514567,0,0,0,0,0,0,63,17,2,1,0,0,43.207734375,48282,12.077585149726366,1002.6953795812201,88.24735745310059
1771459011.5666819,0,0,0,0,0,0,63,17,2,1,0,0,43.2102734375,50690,12.07270225112767,1002.6994925359456,88.21282278348812
1771459013.579697,0,0,0,0,0,0,63,14,3,2,0,0,43.2024609375,53286,12.042433044613022,1002.6868372990602,88.3190836011415
1771459015.592714,0,0,0,0,0,0,63,14,3,2,0,0,43.205390625,55284,12.07748578584329,1002.6880234172281,88.30912420874697
1771459017.6057367,0,0,0,0,0,0,63,14,3,2,0,0,43.208125,57253,12.127518309780543,1002.6977921474917,88.22710018262926
1771459019.6187959,0,0,0,0,0,0,72,17,3,2,0,0,43.2153515625,59129,12.15279258886003,1002.6952596860549,88.24836416172414
1771459021.631802,0,0,0,0,0,0,72,17,3,2,0,0,43.2262890625,61301,12.18322702756859,1002.6898387759679,88.29388133614908
1771459023.6448479,0,0,0,0,0,0,72,17,3,2,0,0,43.237421875,62959,12.178707515350201,1002.6918530350256,88.27696839985114
1771459025.6579287,0,0,0,0,0,0,75,18,4,3,0,0,43.25265625,64474,12.194346009398796,1002.6916108139776,88.27900223269103
1771459027.6707666,0,0,0,0,0,0,75,18,4,3,0,0,43.25109375,66162,12.214265306177479,1002.692639763626,88.27036255856183
1771459029.6829855,0,0,0,0,0,0,75,18,4,3,0,0,43.2446484375,67681,12.318969091546052,1002.6910993299845,88.2832969596301
1771459031.6958795,0,0,0,0,0,0,72,17,4,3,0,0,43.2391796875,69271,12.283729986339235,1002.6822411344376,88.35767597338943
1771459033.708913,0,0,0,0,0,0,72,17,4,3,0,0,43.2430859375,70768,12.238908936172317,1002.6903483133553,88.28960294972222
1771459035.7218704,0,0,0,0,0,0,72,17,4,3,0,0,43.24953125,72449,12.254180479864528,1002.6883289521377,88.30655874747188
1771459037.7347982,0,0,0,0,0,0,54,14,3,3,0,0,43.265546875,73473,12.299867041321267,1002.6786714756122,88.38764923755977
1771459039.7477694,0,0,0,0,0,0,54,14,3,3,0,0,43.288203125,74840,12.315848524970741,1002.685108060168,88.33360339302392
1771459041.7608476,0,0,0,0,0,0,54,14,3,3,0,0,43.3133984375,76260,12.311934653993582,1002.6867546839796,88.31977728955161
1771459043.7738867,0,0,0,0,0,0,57,15,3,3,0,0,43.3274609375,77735,12.287533672941038,1002.6846090510932,88.33779339503441
1771459045.7868922,0,0,0,0,0,0,57,15,3,3,0,0,43.3325390625,79055,12.272749893591559,1002.6874931663742,88.31357652645227
1771459047.7999868,0,0,0,0,0,0,57,15,3,3,0,0,43.3337109375,79768,12.257799513775518,1002.6822705627752,88.35742887356777
1771459049.8122652,0,0,0,0,0,0,60,16,3,3,0,0,43.3481640625,81085,12.253421035338869,1002.6914371759491,88.28046020171509
1771459051.8240287,0,0,0,0,0,0,60,16,3,3,0,0,43.3594921875,81759,12.258908393587406,1002.6884213058153,88.3057832886414
1771459053.8358378,0,0,0,0,0,0,60,16,3,3,0,0,43.363203125,82831,12.304080472001875,1002.6873104244249,88.31511094256076
1771459055.848931,0,0,0,0,0,0,69,19,3,3,0,0,43.3594921875,83852,12.40400736956885,1002.6884213058153,88.3057832886414
1771459057.8619196,0,0,0,0,0,0,69,19,3,3,0,0,43.3567578125,85062,12.408894969277604,1002.6822126853368,88.35791485089412
1771459059.8749235,0,0,0,0,0,0,69,19,3,3,0,0,43.251875,86392,12.284276807653768,1002.6867855270652,88.31951831151649
1771459061.8879554,0,0,0,0,0,0,66,19,3,3,0,0,43.220625,87416,12.177989836346512,1002.6806640059539,88.37091859767278
1771459063.9009638,0,0,0,0,0,0,66,19,3,3,0,0,43.2165234375,88732,12.12787574049297,1002.6846991687827,88.33703670867001
1771459065.9139063,0,0,0,0,0,0,66,19,3,3,0,0,43.15890625,89360,12.225304073797497,1002.678573216412,88.38847428932687
1771459067.926132,0,0,0,0,0,0,69,20,5,2,0,0,43.1440625,90272,12.324626649399084,1002.6794419708432,88.38117963238919
1771459069.9391603,0,0,0,0,0,0,69,20,5,2,0,0,43.1364453125,90921,12.419333712087505,1002.6813391599135,88.36524955195704
1771459071.9521568,0,0,0,0,0,0,69,20,5,2,0,0,43.1255078125,91771,12.518973971287238,1002.6849753941508,88.33471734230082
1771459073.965184,0,0,0,0,0,0,75,25,5,1,0,0,43.117109375,92539,12.618802871627105,1002.6731492472695,88.43401776313972
1771459075.978177,0,0,0,0,0,0,75,25,5,1,0,0,43.105390625,96232,12.6834560920226,1002.6684007650942,88.47388953529516
1771459077.9912195,0,0,0,0,0,0,75,25,5,1,0,0,43.0852734375,97291,12.522219081375656,1002.6642816016818,88.50847720501193
1771459080.0042505,0,0,0,0,0,0,69,23,5,1,0,0,43.0887890625,98319,12.417261689555588,1002.6664182455596,88.49053628242692
1771459082.0172284,0,0,0,0,0,0,69,23,5,1,0,0,43.086640625,98703,12.372149090683852,1002.6647170837095,88.50482055694138
1771459084.030226,0,0,0,0,0,0,69,23,5,1,0,0,43.0909375,100156,12.377336618226675,1002.6645604227699,88.50613600470342
1771459086.04212,0,0,0,0,0,0,87,29,5,0,0,0,43.0981640625,101187,12.357645155983258,1002.6655909390602,88.49748298710138
