time,concentration,particles03,particles05,particles10,particles25,particles50,particles100,['Time'],['Temperature'],['Gas'],['Relative Humidity'],['Pressure'],['Altitude']
22,0,21,1,0,0,0,0,15:54:35,28.914375,92352,27.54321512032073,1002.4916343860261,89.95825972729223
23,0,39,1,0,0,0,0,15:54:36,28.9065625,93482,27.526197075990854,1002.4816601297919,90.04202342279014
24,0,39,1,0,0,0,0,15:54:37,28.89484375,94746,27.514324727410173,1002.4822198854386,90.03732258307778
25,0,39,1,0,0,0,0,15:54:38,28.8723828125,94612,27.5452650142384,1002.4729438755238,90.11522298396338
26,0,39,1,0,0,0,0,15:54:39,28.849921875,95798,27.5543628402399,1002.4740129966553,90.10624442081541
27,0,39,1,0,0,0,0,15:54:40,28.829609375,97464,27.580020531717064,1002.4753227275163,90.0952452088449
28,0,39,1,0,0,0,0,15:54:41,28.8133984375,98434,27.6497250893376,1002.4785054784945,90.06851629057867
29,0,36,0,0,0,0,0,15:54:42,28.801875,99837,27.769057082987796,1002.4828446079039,90.03207615316428
30,0,36,0,0,0,0,0,15:54:43,28.7915234375,102142,27.850270925059306,1002.4891967684284,89.97873075108905
31,0,36,0,0,0,0,0,15:54:44,28.7747265625,101402,27.859839080782717,1002.4930935682248,89.94600558762166
32,0,36,0,0,0,0,0,15:54:45,28.7503125,103845,27.84142280788988,1002.4925197549342,89.9508244414254
33,0,36,0,0,0,0,0,15:54:46,28.7190625,106140,27.806041161843023,1002.4974365197119,89.90953378207165
34,0,36,0,0,0,0,0,15:54:47,28.672578125,106814,27.736625403732454,1002.5037499573363,89.856514198702
35,0,36,0,0,0,0,0,15:54:48,28.631953125,108678,27.656807926167748,1002.5028849379321,89.8637785244519
36,0,36,0,0,0,0,0,15:54:49,28.6008984375,109742,27.583285668033934,1002.4960529281656,89.92115307408368
37,0,36,0,0,0,0,0,15:54:50,28.5503125,110391,27.519143253624968,1002.5004616573265,89.88412896167648
38,0,21,0,0,0,0,0,15:54:51,28.508515625,112533,27.455754088201125,1002.5044545876488,89.85059680442195
39,0,21,0,0,0,0,0,15:54:52,28.44640625,113752,27.407120288110733,1002.5062655138993,89.83538889529348
40,0,21,0,0,0,0,0,15:54:53,28.3864453125,114293,27.369587584939968,1002.5117524232925,89.78931072205381
41,0,36,0,0,0,0,0,15:54:54,28.3169140625,114997,27.358543262168453,1002.5042140390276,89.85261690026621
42,0,36,0,0,0,0,0,15:54:55,28.247578125,115075,27.352967444455935,1002.4987143526348,89.89880265412003
43,0,36,0,0,0,0,0,15:54:56,28.185859375,117324,27.380688445751236,1002.4925109912496,89.95089803840537
44,0,36,0,0,0,0,0,15:54:58,28.1415234375,118481,27.398912809404152,1002.4903453923112,89.96908464453755
