time,concentration,particles03,particles05,particles10,particles25,particles50,particles100,['Time'],['Temperature'],['Gas'],['Relative Humidity'],['Pressure'],['Altitude']
23,0,147,44,4,1,0,0,15:03:15,22.9216015625,48208,45.685508936024206,1008.9070697834973,36.220768679813915
24,0,147,44,4,1,0,0,15:03:16,22.9309765625,49548,45.64400147879926,1008.8986147014313,36.291408512260944
25,0,144,43,4,1,0,0,15:03:17,22.9387890625,51183,45.58406633342271,1008.89099484669,36.35507066599376
26,0,144,43,4,1,0,0,15:03:18,22.946796875,52796,45.524173818939616,1008.8923022865057,36.34414727595382
27,0,144,43,4,1,0,0,15:03:19,22.9540234375,54127,45.488531383903876,1008.8854252301536,36.401603791994674
28,1,144,46,4,1,0,0,15:03:20,22.962421875,55453,45.4347947583821,1008.8787809668316,36.45711566713645
29,1,144,46,4,1,0,0,15:03:21,22.9704296875,56962,45.42357390678221,1008.8800874579288,36.44620009644122
30,1,144,46,4,1,0,0,15:03:22,22.9782421875,58310,45.40625248293503,1008.8776270737234,36.466756310120324
31,1,165,52,3,1,0,0,15:03:23,22.992109375,59134,45.42003168549173,1008.8680544238556,36.54673503293095
32,1,165,52,3,1,0,0,15:03:24,23.0067578125,60545,45.51295430727556,1008.8615034323625,36.60146839620959
33,0,165,52,3,1,0,0,15:03:25,23.02296875,61659,45.65480657311533,1008.8696002031231,36.533820129376714
34,0,174,50,3,1,0,0,15:03:26,23.0364453125,63194,45.77818394197318,1008.86797612288,36.547389233841045
35,0,174,50,3,1,0,0,15:03:27,23.045625,64658,45.82191409616216,1008.8643506748396,36.57767972412201
36,0,174,50,3,1,0,0,15:03:28,23.0555859375,65775,45.80480851138337,1008.8620270177215,36.597093843593285
37,0,183,53,4,1,0,0,15:03:29,23.0653515625,67362,45.80595944616473,1008.8645395023633,36.57610207465968
38,0,183,53,4,1,0,0,15:03:30,23.0829296875,67744,45.79584530886638,1008.8697494075526,36.53257353515334
39,0,183,53,4,1,0,0,15:03:31,23.1065625,68296,45.963224316458906,1008.8695627800512,36.53413279696108
40,0,198,52,4,0,0,0,15:03:32,23.1235546875,69892,46.20326528604871,1008.8703514910842,36.52754316421078
41,0,198,52,4,0,0,0,15:03:33,23.1313671875,71260,46.363065760491466,1008.873047813225,36.50501558808793
42,0,198,52,4,0,0,0,15:03:34,23.14015625,73062,46.33966025093194,1008.8704878765061,36.526403672722246
43,0,207,55,5,0,0,0,15:03:35,23.1473828125,74162,46.26107430962033,1008.8790909129214,36.454526105054036
44,0,207,55,5,0,0,0,15:03:36,23.1512890625,75773,46.13327878570952,1008.8942065413393,36.32823764001912
45,0,207,55,5,0,0,0,15:03:37,23.151875,77169,45.95638386716687,1008.8900202539725,36.36321319462015
46,0,213,53,5,0,0,0,15:03:38,23.1512890625,78178,45.77343923108977,1008.8907646020401,36.35699431374809
47,0,213,53,5,0,0,0,15:03:39,23.14875,79363,45.58437383986404,1008.8985793124125,36.29170417856642
48,0,213,53,5,0,0,0,15:03:40,23.1450390625,81053,45.41361904563583,1008.8975568346967,36.30024672501383
49,0,207,51,4,0,0,0,15:03:41,23.142109375,82085,45.26134944957288,1008.8789060980386,36.45607021096349
50,0,207,51,4,0,0,0,15:03:42,23.1378125,83476,45.11512632284243,1008.845930235507,36.731583205476646
51,0,207,51,4,0,0,0,15:03:43,23.1337109375,84317,44.9872454711778,1008.8184430458673,36.9612439664267
52,0,201,49,5,0,0,0,15:03:44,23.128828125,85522,44.87755215855317,1008.7896540867928,37.2017866940275
53,0,201,49,5,0,0,0,15:03:45,23.1235546875,86762,44.75577291632134,1008.7550518036526,37.49090931557063
54,0,201,49,5,0,0,0,15:03:46,23.11671875,87947,44.68232351243553,1008.7161251404641,37.81617429850685
55,1,234,55,6,1,0,0,15:03:47,23.1034375,88975,44.60211239053094,1008.6922704459238,38.015505340198715
56,1,234,55,6,1,0,0,15:03:48,23.0925,90221,44.516164909594,1008.6619970974967,38.268476476184524
57,1,234,55,6,1,0,0,15:03:49,23.082734375,91303,44.47271364595307,1008.6233525615437,38.59140813365312
58,0,225,50,5,1,0,0,15:03:50,23.072578125,92106,44.41714198446457,1008.5926615770566,38.847883365632484
59,0,225,50,5,1,0,0,15:03:51,23.0618359375,93130,44.36756459695944,1008.5609947167493,39.11252031923698
60,0,225,50,5,1,0,0,15:03:52,23.053046875,93756,44.33634854107761,1008.5239796511975,39.4218602460985
61,0,204,45,5,1,0,0,15:03:53,23.043671875,94817,44.29299332255075,1008.4894302495507,39.710602579905746
62,0,204,45,5,1,0,0,15:03:54,23.0333203125,94473,44.29180543498682,1008.4498130061214,40.04170863015952
63,0,204,45,5,1,0,0,15:03:55,23.0231640625,94847,44.24837396967743,1008.4277280347563,40.226291103412336
