time,pm10 standard,pm25 standard,pm100 standard,pm10 env,pm25 env,pm100 env,03um,05um,10um,25um,50um,100um,temp,gas,humidity,pressure,altitude
1771459780.555938,0,0,1,0,0,1,78,22,4,1,1,1,34.41515625,33763,100,703.9709521027954,2968.190806379079
1771459782.5678408,0,0,0,0,0,0,84,22,3,0,0,0,45.2841015625,18769,11.285276446050908,1002.6422493129618,88.69347922987706
1771459784.5797746,0,0,0,0,0,0,84,22,3,0,0,0,45.2825390625,30760,11.25529058688061,1002.6379399823288,88.72966445705289
1771459786.591524,0,0,0,0,0,0,84,22,3,0,0,0,45.3001171875,41022,11.255995768806331,1002.6288405950011,88.80607195705166
1771459788.6032815,0,0,0,0,0,0,75,19,3,0,0,0,45.3286328125,51307,11.272102800511604,1002.6266928503859,88.82410663741233
1771459790.616323,0,0,0,0,0,0,75,19,3,0,0,0,45.3258984375,59447,11.252043058252392,1002.6187052773824,88.8911788184004
1771459792.6292524,0,0,0,0,0,0,75,19,3,0,0,0,45.300703125,66261,11.320865878984126,1002.6101473933958,88.96304041868399
1771459794.6422622,0,0,0,0,0,0,84,22,3,0,0,0,45.2325390625,72095,11.258271105117805,1002.6143016272026,88.92815674643153
1771459796.655023,0,0,0,0,0,0,84,22,3,0,0,0,45.1169140625,77803,11.253635012801837,1002.6078007016487,88.98274596355115
1771459798.6679504,0,0,0,0,0,0,84,22,3,0,0,0,44.9778515625,82677,11.153449647678617,1002.6061979156683,88.9962048345209
1771459800.6796355,0,0,0,0,0,0,66,18,3,0,0,0,44.8673046875,86055,11.099311694285413,1002.595283109105,89.08785881544165
1771459802.6914184,0,0,0,0,0,0,66,18,3,0,0,0,44.7231640625,89722,11.073734370825095,1002.6031544370384,89.02176149867371
1771459804.70436,0,0,0,0,0,0,66,18,3,0,0,0,44.576875,92830,11.246965116048077,1002.6074534535317,88.98566186454441
1771459806.717312,0,0,0,0,0,0,60,18,4,0,0,0,44.4446484375,98923,11.306359522825781,1002.6040801842964,89.01398781767746
1771459808.7303185,0,0,0,0,0,0,60,18,4,0,0,0,44.288203125,101769,11.329932701942392,1002.6078079821194,88.98268482822283
1771459810.7433212,0,0,0,0,0,0,60,18,4,0,0,0,44.0883984375,103014,11.34180161681725,1002.594741830292,89.09240407121224
1771459812.7547703,0,0,0,0,0,0,69,19,4,0,0,0,43.8878125,107002,11.38345385638346,1002.5766731398816,89.24413259728745
1771459814.767398,0,0,0,0,0,0,69,19,4,0,0,0,43.692109375,108180,11.4004230889235,1002.5431803371144,89.52538814447993
1771459816.7803085,0,0,0,0,0,0,69,19,4,0,0,0,43.491328125,110893,11.442011197504494,1002.5084328883141,89.81718761284523
1771459818.7932527,0,0,0,0,0,0,69,19,4,0,0,0,43.281953125,112444,11.478253736894125,1002.4667257089392,90.16744378851
1771459820.8062596,0,0,0,0,0,0,69,19,4,0,0,0,43.0659375,114705,11.56882388684133,1002.4283235483774,90.4899549068238
1771459822.8192382,0,0,0,0,0,0,69,19,4,0,0,0,42.86046875,116595,11.719416968444309,1002.3872532650861,90.8348846697604
1771459824.8322322,0,0,0,0,0,0,69,19,5,0,0,0,42.6626171875,118074,11.790784659643172,1002.3548025076017,91.10743123058523
1771459826.845139,0,0,0,0,0,0,69,19,5,0,0,0,42.45890625,119429,11.807207821070234,1002.3144727593381,91.44616160726991
1771459828.8568556,0,0,0,0,0,0,69,19,5,0,0,0,42.232734375,121731,11.887262485414439,1002.2713298823745,91.80853172660626
1771459830.8685975,0,0,0,0,0,0,69,19,5,0,0,0,42.0216015625,122405,11.957962587276429,1002.2221696570336,92.2214587769009
1771459832.881537,0,0,0,0,0,0,69,19,5,0,0,0,41.813984375,123689,12.058586010608634,1002.1785397594239,92.58794693067789
1771459834.8933144,0,0,0,0,0,0,69,19,5,0,0,0,41.615546875,125711,12.12477431091624,1002.1425316377056,92.89042241948783
1771459836.9050198,0,0,0,0,0,0,51,13,2,0,0,0,41.399921875,125800,12.18026152702178,1002.1157477569908,93.1154181298014
1771459838.9167943,0,0,0,0,0,0,51,13,2,0,0,0,41.1380078125,127432,12.25361779009348,1002.0987948714761,93.2578319180121
1771459840.9298294,0,0,0,0,0,0,51,13,2,0,0,0,40.9200390625,129579,12.398374428175611,1002.0713167921748,93.48866740660237
1771459842.9428065,0,0,0,0,0,0,63,19,6,1,0,0,40.69953125,130247,12.478374155666327,1002.0519276909902,93.65155278675171
1771459844.9553282,0,0,0,0,0,0,63,19,6,1,0,0,40.4536328125,131800,12.572149216223753,1002.0336173221261,93.80537821643641
1771459846.9667826,0,0,0,0,0,0,63,19,6,1,0,0,40.1659375,132391,12.644165702563745,1002.0303846039001,93.83253652231753
1771459848.9796972,0,0,0,0,0,0,78,24,9,1,0,0,39.9059765625,133793,12.583196560845996,1002.0329102383184,93.81131847395325
1771459850.9916425,0,0,0,0,0,0,78,24,9,1,0,0,39.61515625,134711,12.471453185093505,1002.0345018162433,93.79794752803568
1771459853.0033522,0,0,0,0,0,0,78,24,9,1,0,0,39.2766796875,136372,12.496578649269285,1002.0377846383304,93.77036838820467
